gene_name,indices
OAS1,364
SIRT4,365
TRMT6,366
HAUS5,367
UQCRC1,368
GMIP,369
LAG3,370
MLF2,371
OTUB2,372;193018
LTBP4,373
TFAP4,374
PDCD7,375
SPG21,376
CHRD,377
FLT3LG,378
GNPTG,379
GOLGA3,380
CD209,381
EFNB1,382
GLG1,383
PLEKHG2,384
DLL3,385
NAT14,386
AASDH,387
LAMB4,388
DLD,389
ABCC6,390;182337
CMTM6,391
APOH,392
SPAG7,393
ESR1,394
RGS17,395
TMEM101,396
CCDC80,397
CMA1,398
PSME1,399;214219
HAUS4,400
CEBPE,401
OSGEP,402;274064
SLC22A17,403
G2E3,404
TGM1,405;214237
TBX15,406
TEKT2,407
UNC13D,408
COMT,409
XYLB,410
OR1I1,411
ADH7,412
ADH1A,413
KRT23,414;162517
CDC6,415
AAAS,416;274209
CBX5,417
KLHL20,418
FMO2,419
DHPS,420
RAB26,421
PTBP3,422
PSMD5,423
NANS,424
SEMA4G,425
TPSD1,426
GSTA3,427
MAPK13,428
TMEM14A,429
RPS18,430;54311;58151;59127;68186;70507
GPANK1,431;24756;27925;39448;40587;42959;43848
BAG6,432;17565;38785;38858;41060;41180;42223
VARS1,433;24647;42639;44016;47957;47965;48079
PRRT1,434;27876;40700;43578;44215;44344;58382;61339
LST1,435;27942;38505;38875;38929;40141;40582;41122
ZNF184,436
VCL,437
SIRT1,438
TGFBR3,439
TMED1,440
ERMP1,441
MZF1,442
OCEL1,443
PSMD8,444
STX1B,445
BCL7C,446
EFNA2,447
ATP5F1D,448
CBARP,449
PCDH11Y,450
FGF22,451
SMIM24,452
IGFALS,453
MARCHF2,454
NDUFB7,455
TECR,456
TIMM13,457
CDC34,458
MISP,459
POLR2E,460
GADD45B,461
MADCAM1,462
MAPK12,463
SERPIND1,464
SNAP29,465
THAP7,466
MMP11,467;188962
MIF,468;190068
DDTL,469;195892
OSM,470
TBC1D10A,471
SF3A1,472
USP18,473
RNF215,474
SEC14L3,475
SNRPD3,476
MAPK1,477
TCN2,478
CRYBB3,479
MORC2,480
SLC25A1,481
PLA2G3,482
LGALS2,483
PDXP,484
ASPHD2,485
LGALS1,486
PIK3IP1,487
SRRD,488
PATZ1,489
ANKRD54,490
SNU13,491
MICALL1,492
CENPM,493
KDELR3,494
DDX17,495
DMC1,496
HSCB,497
CBY1,498
TOMM22,499
RSPH14,500
XBP1,501
RTCB,502
JOSD1,503
GTPBP1,504
PPP6R2,505
DNAL4,506
C22orf31,507
MIOX,508
LMF2,509
CBX6,510
RHBDD3,511
APOBEC3D,512
RASL10A,513
HMGXB4,514
BIK,515
HMOX1,516
NIPSNAP1,517
MCM5,518
ARSA,519
RASD2,520
TTLL12,521
CBX7,522
ACR,523;272913
CABP7,524
RPL3,525
SYNGR1,526
TAB1,527
PNPLA5,528
PNPLA3,529
MYH9,530
TXN2,531
FOXRED2,532
EIF3D,533
ADSL,534
PVALB,535;195528
UPK3A,536
FAM118A,537
ST13,538
IL2RB,539
RBX1,540
L3MBTL2,541
CHADL,542
PHF5A,543
ACO2,544
PMM1,545
CERK,546
BRD1,547
ZBED4,548
HDAC10,549
RIPK3,550;213863
PAPOLA,551
HSP90AA1,552
NID2,553
MARK3,554
SNAPC1,555
SUPT16H,556
ABHD4,557
FKBP3,558
CTSG,559
GZMH,560
GZMB,561
PRMT5,562
COCH,563
AP4S1,564
POLE2,565
SOS2,566
CDKL1,567
PYGL,568
GNPNAT1,570
CDKN3,571
CNIH1,572
CGRRF1,573
ATP6V1D,574
CCDC198,575
PLEK2,576
LRRC74A,577
PIGH,578
PSMA3,579
VTI1B,580
TIMM9,581
GSTZ1,582
TMED8,583
SAMD15,584
AHSA1,585
ISM2,586
SPTLC2,587
RIN3,588
ALKBH1,589
CHGA,590;189564
DHRS7,591
SIX4,592
CEP128,593
ERH,594
SLC10A1,595
EIF5,596
SLC8A3,597
ZFYVE21,598
BDKRB1,599
VRK1,600
PAPLN,601
APEX1,602;274077
PABPN1,603
EFS,604
ARHGAP5,605
CINP,606
SRP54,607
PCK2,608;214056
NFKBIA,609
EMC9,610;213686
PSME2,611;214152
BRMS1L,612
PNN,613
RABGGTA,614;214261
CYP24A1,615
PTPRA,616
NSFL1C,617
ZFP64,618
SIRPG,619
PYGB,620
PROCR,621
MYBL2,622
R3HDML,623
PABPC1L,624
SALL4,627
CSTF1,628
TPD52L2,629
CTSZ,630
TUBB1,631
SLCO4A1,632
TCFL5,633
BIRC7,634
UBOX5,635
EEF1A2,636
PTK6,637
SRMS,638
ADISSP,639
TRIB3,640
CSNK2A1,641
MACROD2,642
SLC52A3,643
RSPO4,644
PROKR2,645
FERMT1,646
PDYN,647
TM9SF4,648
TLDC2,649
SNTA1,650
OXT,651
PXMP4,652
CHMP4B,653
LBP,654
SLC32A1,655
CST4,656
WFDC2,657
AHCY,658
SPINT3,659
PIGU,660
ACOT8,661
APMAP,662
TXNL1,663
MYL12A,664
RNF125,665
POLI,666
NOX1,667
ARSD,668
TAF9,669;191258
IDH3G,670
SLC25A43,671
H2BW1,672
MXRA5,673
VSIG1,674
PSMD10,675
STS,676
PGRMC1,677
RHOXF1,678
NXT2,679
GUCY2F,680
ATP1B4,681
TLR8,682
WDR13,683
PAGE4,684
GLRA2,685
STAG2,686
F9,687
ABCD1,688
BCORL1,689
KCND1,690;275181
SLC25A14,691
FMR1,692
PQBP1,693;275132
PCSK1N,694
RAB40AL,695
GPR50,696
HUWE1,697
RP2,698
USP11,699
HTATSF1,700
TIMP1,701
PIN4,702
ITIH6,703
MAGED2,704
GLA,705
ATP12A,706
NDFIP2,707
MLNR,708
ACP5,709
ARHGEF7,710
SGCG,711
DHRS12,712
OLFM4,713
ACSM2A,714
NTHL1,715
ZNF263,716
MMP2,717
CHD9,718
ZNF205,719
ORC6,720
PHAF1,721
CORO1A,722
MT4,723
LYRM1,724
NUTF2,725
CBLN1,726
ARL2BP,727
PLLP,728
CCL22,729
DHODH,730
CCL17,731
ACD,732
POLR2C,733
PARD6A,734
MMP15,735
USB1,736
CFAP263,737
PRSS54,738
NME3,739
PSMD7,740
SETD6,741
SLC38A7,742
HAS3,743
SMPD3,744
SLC7A6,745
PLA2G15,746
FA2H,747
CMC2,748;274486
PDIA2,749
ARHGDIG,750
MPG,751
HSDL1,752
WFDC1,753
USP10,754
TSC2,755
ZNF500,756
NME4,757
DECR2,758;189799
ANTKMT,759
METRN,760
STUB1,761
RHBDL1,762
MEFV,763
CRYM,764
CAPN15,765;204231
AQP8,766
USP31,767
HMOX2,768;189066
TOX3,769
QPRT,770
MAZ,771
CDIPT,772
BCKDK,773
KAT8,774
TMC5,775
SLC6A2,776
KNOP1,777
MGA,778
